time (s),Left (avg),Left,Right (avg),Right
0.049,82,82,81,81
0.118,82,81,81,81
0.187,82,81,81,81
0.256,82,82,81,81
0.325,82,82,81,81
0.521,82,82,81,81
0.59,82,82,81,81
0.659,82,81,81,81
0.728,82,81,81,81
0.797,82,81,81,81
0.866,82,81,81,81
0.935,82,81,81,81
1.005,82,81,81,81
1.075,82,81,81,81
1.146,82,82,81,81
1.215,82,82,81,81
1.284,82,82,81,81
1.354,82,82,81,81
1.422,82,82,81,81
1.492,82,82,81,81
1.561,82,81,81,81
1.63,82,81,81,81
1.699,82,82,81,81
1.769,82,82,81,81
1.837,82,81,81,81
1.906,82,82,81,81
1.976,82,82,81,81
2.046,82,82,81,81
2.115,82,81,81,81
2.186,82,82,81,81
2.255,82,81,81,81
2.324,82,82,81,81
2.393,82,81,81,81
2.462,82,82,81,81
2.532,82,82,81,81
2.601,82,82,81,81
2.67,82,81,81,81
2.739,82,82,81,81
2.808,82,82,81,81
2.877,82,81,81,81
2.946,82,81,81,81
3.016,82,82,81,81
3.085,82,81,81,81
3.154,82,82,81,81
3.225,82,82,81,81
3.294,82,81,81,81
3.363,82,81,81,81
3.432,82,81,81,81
3.503,82,81,81,81
3.573,82,81,81,81
3.642,82,81,81,81
3.711,82,81,81,81
3.78,82,81,81,81
3.849,82,81,81,81
3.918,82,82,81,81
3.989,82,82,81,81
4.058,82,81,81,81
4.128,82,82,81,81
4.196,82,81,81,81
4.267,82,81,81,81
4.337,82,82,81,81
4.405,82,82,81,81
4.476,82,81,81,81
4.546,82,81,81,81
4.615,82,82,81,81
4.684,82,82,81,81
4.753,82,82,81,81
4.822,82,82,81,81
4.891,82,82,81,81
4.961,82,82,81,81
5.03,82,82,81,81
5.117,82,81,81,82
5.185,82,81,81,81
5.257,82,82,81,81
5.325,82,82,81,81
5.394,82,82,81,81
5.463,82,81,81,81
5.534,82,82,81,81
5.603,82,82,81,81
5.672,82,82,81,81
5.741,82,81,81,81
5.81,82,82,81,81
5.879,82,82,81,81
5.948,82,82,81,81
6.018,82,82,81,81
6.087,82,82,81,81
6.156,82,81,81,81
6.225,82,82,81,81
6.296,82,82,81,81
6.365,82,81,81,81
6.452,82,82,81,82
6.54,82,82,81,82
6.609,82,81,81,81
6.678,82,82,81,81
6.747,82,82,81,81
6.816,82,81,81,81
6.885,82,82,81,81
6.954,82,82,81,81
7.024,82,81,81,81
7.094,82,82,81,81
7.171,82,82,81,81
7.241,82,82,81,81
7.31,82,81,81,81
7.379,82,82,81,81
7.448,82,81,81,81
7.518,82,82,81,81
7.587,82,81,81,81
7.656,82,82,81,81
7.725,82,82,81,81
7.794,82,82,81,81
7.863,82,82,81,81
7.932,82,82,81,81
8.003,82,82,81,81
8.072,82,81,81,81
8.141,82,82,81,81
8.21,82,82,81,81
8.281,82,82,81,81
8.35,82,82,81,81
8.419,82,82,81,81
8.488,82,82,81,81
8.559,82,82,81,81
8.628,82,81,81,81
8.697,82,82,81,81
