Left,Left (avg),Right,Right (avg)
87,,89,90
87,,89,90
87,,89,
87,,89,89
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,90
87,,89,
87,,89,89
87,,89,90
87,,89,
87,,89,
87,,89,89
87,,89,89
87,,89,89
87,,89,89
87,,89,89
87,,89,90
87,,89,90
87,,89,89
87,,89,
87,,89,89
87,,89,90
87,,89,90
87,,89,
87,,89,
87,,89,89
87,,89,
87,,89,89
87,87,89,
87,,89,89
87,,89,
87,88,89,
87,,89,
87,88,89,
87,,89,
87,,89,
87,,89,90
87,,89,89
87,,89,
87,,89,
87,,89,
87,,89,89
87,,89,
87,,89,90
87,,89,
87,,89,91
87,87,89,90
87,,89,89
87,87,89,90
87,,89,89
87,,89,89
87,,89,90
87,,89,90
87,,89,
87,,89,
87,,89,89
87,,89,
87,,89,89
87,,89,
87,,89,89
87,88,89,90
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,90
87,,89,89
87,,89,87
87,,89,89
87,,89,89
87,,89,89
87,,89,80
87,,89,89
87,,89,77
87,,89,89
87,,89,80
87,,89,88
87,,89,90
87,,89,90
87,,89,88
87,,89,89
87,,89,91
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,
87,88,89,89
87,,89,
87,,89,91
87,,89,
87,,89,89
87,,89,89
87,,89,89
87,,89,89
87,,89,89
87,,89,89
87,,89,89
87,,89,89
87,,89,89
87,,89,89
87,,89,90
87,88,89,
87,87,89,
87,,89,
87,,89,
87,,89,
87,,89,89
87,88,89,
87,,89,
87,,89,90
87,,89,90
87,88,89,
87,,89,89
87,,89,91
87,,89,89
87,,89,91
87,,89,
87,,89,
87,,89,
87,,89,90
87,87,89,89
87,,89,89
87,88,89,89
87,,89,89
87,,89,89
87,,89,
87,,89,
87,,89,
87,87,89,90
87,87,89,
87,,89,89
87,,89,89
87,,89,90
87,,89,89
87,,89,89
87,,89,89
87,,89,89
87,88,89,90
87,88,89,90
87,,89,90
87,,89,90
87,,89,91
87,87,89,91
87,,89,90
87,88,89,90
87,,89,84
87,,89,
87,,89,
87,87,89,
87,87,89,
87,,89,90
87,87,89,89
87,,89,89
87,,89,
87,,89,89
87,,89,
87,,89,89
87,,89,89
87,,89,89
87,,89,89
87,,89,89
87,,89,90
87,,89,
87,,89,
87,,89,89
87,,89,91
87,,89,
87,88,89,
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,91
87,,89,
87,,89,90
87,,89,
87,,89,89
87,,89,89
87,,89,90
87,,89,89
87,,89,89
87,,89,90
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,90
87,,89,
87,,89,
87,,89,89
87,,89,90
87,,89,89
87,,89,89
87,,89,89
87,,89,89
87,,89,
87,,89,
87,87,89,90
87,,89,90
87,,89,89
87,87,89,90
87,,89,
87,,89,89
87,,89,89
87,,89,
87,,89,
87,87,89,90
87,,89,89
87,,89,89
87,,89,90
87,,89,
87,,89,90
87,,89,90
87,,89,89
87,,89,90
87,,89,90
87,,89,
87,,89,89
87,,89,89
87,,89,90
87,,89,89
87,,89,
87,,89,89
87,,89,89
87,,89,
87,,89,89
87,,89,90
87,,89,
87,,89,89
87,,89,90
87,,89,90
87,,89,90
87,,89,90
87,,89,90
87,,89,90
87,,89,
87,,89,90
87,,89,
87,,89,
87,,89,90
87,,89,
87,,89,
87,,89,90
87,,89,90
87,,89,81
87,,89,80
87,,89,90
87,,89,81
87,,89,90
87,,89,
87,,89,90
87,,89,89
87,,89,90
87,,89,90
87,,89,79
87,,89,
87,,89,90
87,,89,
87,,89,78
87,,89,76
87,,89,78
87,,89,78
87,,89,77
87,,89,78
87,,89,79
87,,89,76
87,,89,
87,,89,90
87,,89,90
87,,89,90
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,90
87,,89,90
87,,89,90
87,,89,90
87,,89,90
87,,89,90
87,,89,80
87,,89,90
87,,89,
87,,89,78
87,,89,77
87,,89,81
87,,89,83
87,,89,89
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,90
87,,89,83
87,,89,90
87,,89,
87,,89,
87,,89,90
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,90
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,90
87,,89,90
87,,89,
87,,89,90
87,,89,
87,,89,54
87,,89,54
87,,89,55
87,,89,81
87,,89,81
87,,89,
87,,89,
87,,89,
87,,89,89
87,,89,
87,,89,90
87,,89,
87,,89,89
87,,89,89
87,,89,90
87,,89,89
87,,89,90
87,,89,89
87,,89,90
87,88,89,89
87,,89,89
87,,89,90
87,,89,89
87,,89,90
87,,89,89
87,,89,
87,,89,
87,,89,
87,,89,91
87,,89,87
87,,89,87
87,,89,89
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,90
87,,89,90
87,,89,
87,,89,
87,,89,
87,,89,89
87,,89,
87,,89,
87,,89,
87,,89,89
87,,89,89
87,,89,
87,,89,54
87,,89,90
87,,89,56
87,,89,89
87,,89,89
87,87,89,
87,,89,88
87,,89,
87,,89,
87,,89,84
87,,89,89
87,,89,89
87,,89,90
87,,89,90
87,,89,
87,,89,90
87,,89,
87,,89,89
87,,89,81
87,,89,90
87,,89,90
87,,89,83
87,,89,90
87,,89,
87,,89,89
87,,89,89
87,,89,89
87,,89,
87,,89,
87,,89,89
87,,89,90
87,,89,89
87,,89,89
87,88,89,89
87,,89,90
87,,89,
87,,89,
87,,89,89
87,,89,
87,,89,
87,,89,
87,,89,88
87,,89,88
87,88,89,87
87,,89,85
87,,89,89
87,87,89,85
87,,89,84
87,,89,86
87,,89,83
87,,89,81
87,,89,82
87,,89,82
87,,89,82
87,,89,79
87,,89,89
87,,89,82
87,,89,81
87,,89,89
87,,89,78
87,,89,79
87,,89,84
87,,89,90
87,,89,90
87,,89,90
87,88,89,87
87,,89,90
87,,89,89
87,,89,90
87,,89,90
87,,89,90
87,,89,90
87,,89,88
87,,89,83
87,,89,84
87,,89,85
87,,89,82
87,,89,86
87,,89,80
87,,89,77
87,,89,76
87,,89,79
87,,89,78
87,88,89,77
87,,89,78
87,,89,90
87,,89,78
87,,89,79
87,87,89,77
87,87,89,77
87,,89,78
87,,89,79
87,87,89,78
87,,89,80
87,,89,78
87,,89,81
87,,89,80
87,,89,80
87,,89,81
87,,89,77
87,,89,79
87,88,89,78
87,,89,55
87,,89,83
87,,89,85
87,,89,82
87,,89,84
87,,89,84
87,,89,82
87,,89,82
87,,89,79
87,,89,55
87,,89,55
87,,89,83
87,,89,82
87,,89,85
87,,89,86
87,,89,85
87,,89,84
87,,89,84
87,,89,83
87,,89,80
87,,89,84
87,,89,87
87,,89,87
87,,89,84
87,,89,82
87,,89,89
87,,89,83
87,,89,
87,,89,89
87,,89,79
87,,89,79
87,,89,54
87,,89,77
87,,89,
87,,89,53
87,,89,89
87,,89,51
87,,89,50
87,,89,51
87,,89,54
87,,89,82
87,,89,83
87,,89,81
87,,89,82
87,,89,84
87,,89,81
87,,89,83
87,,89,86
87,,89,88
87,,89,90
87,,89,89
87,,89,90
87,,89,90
87,,89,90
87,,89,89
87,,89,90
87,,89,83
87,,89,80
87,,89,89
87,,89,81
87,,89,90
87,,89,
87,,89,
87,,89,77
87,,89,54
87,,89,83
87,,89,86
87,,89,82
87,,89,54
87,,89,90
87,,89,90
87,,89,89
87,,89,89
87,,89,79
87,,89,77
87,,89,80
87,,89,86
87,,89,77
87,,89,83
87,,89,83
87,,89,81
87,,89,81
87,,89,81
87,,89,84
87,,89,82
87,,89,80
87,,89,
87,,89,90
87,,89,90
87,,89,
87,,89,90
87,,89,90
87,,89,90
87,,89,90
87,,89,89
87,,89,90
87,,89,
87,,89,
87,,89,89
87,,89,
87,,89,
87,,89,90
87,,89,90
87,,89,90
87,,89,90
87,,89,90
87,,89,
87,,89,90
87,,89,
87,,89,90
87,,89,
87,,89,90
87,,89,
87,,89,
87,,89,90
87,,89,
87,,89,90
87,,89,
87,,89,
87,,89,90
87,,89,
87,,89,90
87,,89,
87,,89,90
87,,89,82
87,,89,81
87,,89,90
87,,89,
87,,89,
87,,89,90
87,,89,90
87,,89,
87,,89,
87,,89,90
87,,89,
87,,89,90
87,,89,
87,,89,
87,,89,
87,,89,90
87,,89,
87,,89,91
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,90
87,,89,90
87,,89,89
87,,89,90
87,,89,
87,,89,89
87,,89,90
87,,89,90
87,,89,
87,,89,
87,,89,86
87,,89,86
87,,89,85
87,,89,87
87,,89,84
87,,89,82
87,,89,81
87,,89,83
87,,89,80
87,,89,79
87,,89,81
87,,89,82
87,,89,81
87,,89,80
87,,89,91
87,,89,80
87,,89,91
87,,89,89
87,,89,89
87,,89,89
87,,89,90
87,,89,89
87,,89,90
87,,89,89
87,,89,89
87,,89,89
87,,89,89
87,,89,89
87,,89,89
87,,89,
87,,89,90
87,,89,
87,,89,89
87,,89,89
87,,89,
87,,89,90
87,,89,
87,,89,
87,,89,89
87,,89,
87,,89,89
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,90
87,,89,
87,,89,90
87,,89,
87,,89,
87,,89,
87,88,89,
87,,89,91
87,,89,89
87,,89,89
87,,89,90
87,,89,
87,,89,89
87,,89,89
87,,89,90
87,,89,89
87,,89,
87,,89,89
87,,89,89
87,,89,89
87,,89,89
87,,89,89
87,,89,89
87,,89,89
87,,89,
87,,89,89
87,,89,89
87,,89,89
87,,89,89
87,,89,89
87,,89,89
87,87,89,89
87,,89,89
87,,89,89
87,,89,89
87,,89,89
87,,89,90
87,,89,89
87,87,89,89
87,,89,
87,87,89,
87,88,89,
87,,89,
87,,89,89
87,,89,90
87,,89,
87,,89,90
87,87,89,89
87,,89,
87,,89,90
87,,89,
87,,89,89
87,87,89,81
87,87,89,81
87,,89,81
87,87,89,84
87,87,89,87
87,,89,
87,87,89,
87,,89,
87,,89,90
87,,89,89
87,,89,
87,,89,90
87,,89,
87,,89,
87,,89,90
87,,89,90
87,,89,89
87,,89,
87,,89,90
87,,89,89
87,,89,89
87,,89,89
87,,89,89
87,,89,89
87,,89,89
87,,89,89
87,,89,89
87,,89,79
87,,89,90
87,,89,
87,87,89,85
87,,89,90
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,90
87,,89,
87,,89,80
87,,89,88
87,,89,83
87,,89,86
87,,89,
87,,89,90
87,,89,90
87,,89,
87,,89,90
87,,89,90
87,,89,
87,,89,89
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,89
87,,89,
87,,89,
87,87,89,
87,,89,85
87,,89,87
87,,89,
87,,89,89
87,,89,
87,,89,
87,,89,90
87,,89,
87,,89,
87,,89,90
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,90
87,,89,90
87,,89,89
87,,89,89
87,,89,
87,,89,
87,,89,90
87,,89,
87,,89,
87,,89,
87,,89,89
87,,89,89
87,,89,91
87,,89,90
87,,89,89
87,,89,91
87,,89,89
87,,89,89
87,,89,89
87,,89,
87,87,89,89
87,,89,89
87,,89,89
87,,89,89
87,,89,89
87,88,89,89
87,,89,89
87,88,89,89
87,,89,89
87,,89,
87,87,89,
87,,89,
87,,89,90
87,,89,
87,,89,91
87,,89,
87,,89,90
87,,89,
87,,89,
87,,89,90
87,,89,
87,,89,90
87,,89,
87,,89,90
87,,89,
87,,89,90
87,,89,89
87,,89,
87,,89,89
87,,89,89
87,,89,91
87,,89,
87,,89,
87,,89,
87,,89,90
87,,89,
87,,89,
87,,89,90
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,90
87,,89,
87,,89,
87,,89,
87,,89,90
87,,89,80
87,87,89,
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,90
87,,89,
87,,89,
87,,89,89
87,,89,90
87,87,89,55
87,,89,90
87,,89,55
87,,89,56
87,,89,90
87,,89,56
87,,89,90
87,,89,90
87,,89,89
87,,89,90
87,,89,
87,87,89,88
87,,89,90
87,,89,89
87,,89,90
87,,89,
87,,89,90
87,,89,87
87,,89,
87,,89,87
87,,89,85
87,,89,89
87,,89,
87,,89,86
87,,89,88
87,88,89,87
87,,89,85
87,,89,89
87,,89,
87,,89,
87,,89,
87,,89,91
87,,89,90
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,
87,87,89,85
87,87,89,87
87,,89,
87,,89,84
87,,89,89
87,,89,88
87,87,89,84
87,87,89,89
87,,89,84
87,,89,85
87,,89,86
87,,89,84
87,,89,85
87,,89,89
87,,89,84
87,,89,88
87,,89,86
87,,89,82
87,,89,89
87,,89,90
87,87,89,90
87,,89,90
87,,89,90
87,,89,89
87,,89,90
87,,89,90
87,,89,89
87,,89,90
87,,89,85
87,,89,83
87,,89,85
87,,89,82
87,,89,80
87,,89,80
87,,89,79
87,,89,81
87,,89,81
87,,89,79
87,,89,79
87,,89,83
87,,89,78
87,,89,50
87,,89,78
87,,89,78
87,,89,77
87,,89,77
87,,89,52
87,,89,78
87,,89,81
87,,89,80
87,,89,83
87,,89,
87,,89,83
87,,89,82
87,,89,
87,,89,85
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,
87,,89,
